play_type,team,time,play_description,period_id,game_id,home_team,home_location,home_nickname,home_score_total,away_team,away_location,away_nickname,away_score_total,goalie_change,penalty,on_ice_situation,score,minute_start,second_start,clock,leader,away_goals,home_goals,sec_from_start,power_play_seconds,time_elapsed,time_remaining,player_name_1,player_jersey_1,home_skaters,away_skaters,penalty_type,penalty_level,penalty_length,start_power_play,end_power_play,shot_result,player_name_2,player_name_3,player_jersey_2,player_jersey_3,shot_type,season
Goalie,Boston Pride,00:00,Starting Goalie #29 Brittany Ott,1,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,Starting,0,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,0,00:00,20:00,Starting Goalie  Brittany Ott,29,5,5,,,,,,,,,,,,2016
Goalie,Buffalo Beauts,00:00,Starting Goalie #29 Brianne McLaughlin,1,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,Starting,0,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,0,00:00,20:00,Starting Goalie  Brianne McLaughlin,29,5,5,,,,,,,,,,,,2016
Penalty,Boston Pride,00:00,#22 Kacey Bellamy Interference Minor 2 minsPower Play,1,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,1,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,120,00:00,20:00,Kacey Bellamy,22,5,5,Interference,Minor,2 mins,0,120,,,,,,,2016
PP Goal,Boston Pride,07:52,#21 Hilary Knight from #2 Alyssa Gagliardi and #44 Zoe HickelPower Play1 - 0 BOS,1,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,0,Even Strength,1 - 0 BOS,7,52,12:08,BOS,1,0 ,472,0,07:52,12:08,Hilary Knight,21,6,6,,,,0,120,made,Alyssa Gagliardi,Zoe Hickel,2,44,,2016
Goalie,Boston Pride,00:00,#29 Brittany Ott replaced by #29 Brittany Ott,2,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,0,Even Strength,1 - 0 BOS,0,0,20:00,BOS,1,0 ,1200,0,00:00,20:00,Brittany Ott replaced,29,6,6,,,,0,120,,Brittany Ott,,29,,,2016
Goalie,Buffalo Beauts,00:00,#29 Brianne McLaughlin replaced by #29 Brianne McLaughlin,2,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,0,Even Strength,1 - 0 BOS,0,0,20:00,BOS,1,0 ,1200,0,00:00,20:00,Brianne McLaughlin replaced,29,6,6,,,,0,120,,Brianne McLaughlin,,29,,,2016
Penalty,Boston Pride,00:00,#22 Kacey Bellamy Tripping Minor 2 minsPower Play,2,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,1,Even Strength,1 - 0 BOS,0,0,20:00,BOS,1,0 ,1200,120,00:00,20:00,Kacey Bellamy,22,6,6,Tripping,Minor,2 mins,1200,1320,,,,,,,2016
Penalty,Boston Pride,00:00,#15 Emily Field Roughing Minor 2 minsPower Play,2,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,1,Even Strength,1 - 0 BOS,0,0,20:00,BOS,1,0 ,1200,120,00:00,20:00,Emily Field,15,6,6,Roughing,Minor,2 mins,1200,1320,,,,,,,2016
Goal,Boston Pride,04:24,#21 Hilary Knight from #22 Kacey BellamyEven Strength2 - 0 BOS,2,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,0,Even Strength,2 - 0 BOS,4,24,15:36,BOS,2,0 ,1464,0,04:24,15:36,Hilary Knight,21,6,6,,,,1200,1320,made,Kacey Bellamy,,22,,,2016
Goal,Boston Pride,11:03,#11 Jordan Smelker from #14 Brianna Decker and #2 Alyssa GagliardiEven Strength3 - 0 BOS,2,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,0,Even Strength,3 - 0 BOS,11,3,8:57,BOS,3,0 ,1863,0,11:03,8:57,Jordan Smelker,11,6,6,,,,1200,1320,made,Brianna Decker,Alyssa Gagliardi,14,2,,2016
Goalie,Boston Pride,00:00,#29 Brittany Ott replaced by #29 Brittany Ott,3,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,0,Even Strength,3 - 0 BOS,0,0,20:00,BOS,3,0 ,2400,0,00:00,20:00,Brittany Ott replaced,29,6,6,,,,1200,1320,,Brittany Ott,,29,,,2016
Goalie,Buffalo Beauts,00:00,#29 Brianne McLaughlin replaced by #29 Brianne McLaughlin,3,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,0,Even Strength,3 - 0 BOS,0,0,20:00,BOS,3,0 ,2400,0,00:00,20:00,Brianne McLaughlin replaced,29,6,6,,,,1200,1320,,Brianne McLaughlin,,29,,,2016
Penalty,Buffalo Beauts,00:00,#10 Meghan Duggan Boarding Minor 2 minsPower Play,3,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,1,Even Strength,3 - 0 BOS,0,0,20:00,BOS,3,0 ,2400,120,00:00,20:00,Meghan Duggan Boarding,10,6,6,,Minor,2 mins,2400,2520,,,,,,,2016
Penalty,Boston Pride,00:00,#91 Rachel Llanes Hooking Minor 2 minsPower Play,3,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,1,Even Strength,3 - 0 BOS,0,0,20:00,BOS,3,0 ,2400,120,00:00,20:00,Rachel Llanes,91,6,6,Hooking,Minor,2 mins,2400,2520,,,,,,,2016
Penalty,Boston Pride,09:04,#12 Marissa Gedman Cross-Checking Minor 2 minsPower Play,3,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,1,Even Strength,3 - 0 BOS,9,4,10:56,BOS,3,0 ,2944,120,09:04,10:56,Marissa Gedman,12,6,6,Cross-Checking,Minor,2 mins,2944,3064,,,,,,,2016
Goal,Boston Pride,09:12,#16 Amanda Pelkey from #22 Kacey Bellamy and #3 Jillian DempseyEven Strength4 - 0 BOS,3,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,0,Even Strength,4 - 0 BOS,9,12,10:48,BOS,4,0 ,2952,0,09:12,10:48,Amanda Pelkey,16,6,6,,,,2944,3064,made,Kacey Bellamy,Jillian Dempsey,22,3,,2016
PP Goal,Buffalo Beauts,13:02,#3 Kelley Steadman from #10 Meghan Duggan and #7 Emily PfalzerPower Play4 - 1 BOS,3,40863, Buffalo Beauts,"",Buffalo Beauts,1, Boston Pride,"",Boston Pride,4,,0,Even Strength,4 - 1 BOS,13,2,6:58,BOS,4,1 ,3182,0,13:02,6:58,Kelley Steadman,3,6,6,,,,2944,3064,made,Meghan Duggan,Emily Pfalzer,10,7,,2016
Goalie,Connecticut Whale,00:00,Starting Goalie #78 Chelsea Laden,1,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,Starting,0,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,0,00:00,20:00,Starting Goalie  Chelsea Laden,78,5,5,,,,,,,,,,,,2016
Goalie,Buffalo Beauts,00:00,Starting Goalie #29 Brianne McLaughlin,1,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,Starting,0,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,0,00:00,20:00,Starting Goalie  Brianne McLaughlin,29,5,5,,,,,,,,,,,,2016
Goal,Connecticut Whale,04:10,#88 Alyssa Wohlfeiler from #10 Lindsay BermanEven Strength1 - 0 CTW,1,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,1 - 0 CTW,4,10,15:50,CTW,1,0 ,250,0,04:10,15:50,Alyssa Wohlfeiler,88,6,6,,,,,,made,Lindsay Berman,,10,,,2016
Penalty,Connecticut Whale,05:40,#61 Kelli Stack Roughing Minor 2 minsPower Play,1,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,1 - 0 CTW,5,40,14:20,CTW,1,0 ,340,120,05:40,14:20,Kelli Stack,61,6,6,Roughing,Minor,2 mins,340,460,,,,,,,2016
Penalty,Connecticut Whale,08:16,#88 Alyssa Wohlfeiler Hooking Minor 2 minsPower Play,1,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,1 - 0 CTW,8,16,11:44,CTW,1,0 ,496,120,08:16,11:44,Alyssa Wohlfeiler,88,6,6,Hooking,Minor,2 mins,496,616,,,,,,,2016
Penalty,Buffalo Beauts,09:32,Served by #26 Maggie Giamo Too Many Men Bench Minor 2 minsPower Play,1,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,1 - 0 CTW,9,32,10:28,CTW,1,0 ,572,120,09:32,10:28,Maggie Giamo,26,6,6,Too Many Men,Minor,2 mins,572,692,,,,,,,2016
Penalty,Buffalo Beauts,14:20,#24 Hailey Browne Body Checking Minor 2 minsPower Play,1,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,1 - 0 CTW,14,20,5:40,CTW,1,0 ,860,120,14:20,5:40,Hailey Browne,24,6,6,Body Checking,Minor,2 mins,860,980,,,,,,,2016
SH Goal,Buffalo Beauts,16:12,#10 Meghan Duggan from #3 Kelley Steadman and #15 Annmarie CellinoShort Handed1 - 1 Tie,1,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,1 - 1 T,16,12,3:48,T,1,1 ,972,0,16:12,3:48,Meghan Duggan,10,6,6,,,,860,980,made,Kelley Steadman,Annmarie Cellinoie,3,15,,2016
Goalie,Connecticut Whale,00:00,#78 Chelsea Laden replaced by #78 Chelsea Laden,2,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,1 - 1 T,0,0,20:00,T,1,1 ,1200,0,00:00,20:00,Chelsea Laden replaced,78,6,6,,,,860,980,,Chelsea Laden,,78,,,2016
Goalie,Buffalo Beauts,00:00,#29 Brianne McLaughlin replaced by #29 Brianne McLaughlin,2,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,1 - 1 T,0,0,20:00,T,1,1 ,1200,0,00:00,20:00,Brianne McLaughlin replaced,29,6,6,,,,860,980,,Brianne McLaughlin,,29,,,2016
Penalty,Connecticut Whale,04:42,#13 Kaleigh Fratkin Cross-Checking Minor 2 minsPower Play,2,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,1 - 1 T,4,42,15:18,T,1,1 ,1482,120,04:42,15:18,Kaleigh Fratkin,13,6,6,Cross-Checking,Minor,2 mins,1482,1602,,,,,,,2016
Penalty,Buffalo Beauts,06:52,#43 Tatiana Rafter Roughing Minor 2 minsPower Play,2,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,1 - 1 T,6,52,13:08,T,1,1 ,1612,120,06:52,13:08,Tatiana Rafter,43,6,6,Roughing,Minor,2 mins,1612,1732,,,,,,,2016
Penalty,Buffalo Beauts,08:33,#10 Meghan Duggan Body Checking Minor 2 minsPower Play,2,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,1 - 1 T,8,33,11:27,T,1,1 ,1713,120,08:33,11:27,Meghan Duggan,10,6,6,Body Checking,Minor,2 mins,1713,1833,,,,,,,2016
PP Goal,Connecticut Whale,09:28,#28 Sam Faber from #13 Kaleigh Fratkin and #26 Jordan BricknerPower Play2 - 1 CTW,2,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,2 - 1 CTW,9,28,10:32,CTW,2,1 ,1768,0,09:28,10:32,Sam Faber,28,6,6,,,,1713,1833,made,Kaleigh Fratkin,Jordan Brickner,13,26,,2016
Penalty,Connecticut Whale,15:30,#4 Anya Battaglino Slashing Minor 2 minsPower Play,2,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,2 - 1 CTW,15,30,4:30,CTW,2,1 ,2130,120,15:30,4:30,Anya Battaglino,4,6,6,Slashing,Minor,2 mins,2130,2250,,,,,,,2016
Goalie,Connecticut Whale,00:00,#78 Chelsea Laden replaced by #78 Chelsea Laden,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,2 - 1 CTW,0,0,20:00,CTW,2,1 ,2400,0,00:00,20:00,Chelsea Laden replaced,78,6,6,,,,2130,2250,,Chelsea Laden,,78,,,2016
Goalie,Buffalo Beauts,00:00,#29 Brianne McLaughlin replaced by #29 Brianne McLaughlin,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,2 - 1 CTW,0,0,20:00,CTW,2,1 ,2400,0,00:00,20:00,Brianne McLaughlin replaced,29,6,6,,,,2130,2250,,Brianne McLaughlin,,29,,,2016
Penalty,Connecticut Whale,01:37,#16 Micaela Long Hooking Minor 2 minsPower Play,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,2 - 1 CTW,1,37,18:23,CTW,2,1 ,2497,120,01:37,18:23,Micaela Long,16,6,6,Hooking,Minor,2 mins,2497,2617,,,,,,,2016
Penalty,Connecticut Whale,04:42,#13 Kaleigh Fratkin Elbowing Minor 2 minsPower Play,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,2 - 1 CTW,4,42,15:18,CTW,2,1 ,2682,120,04:42,15:18,Kaleigh Fratkin Elbowing,13,6,6,,Minor,2 mins,2682,2802,,,,,,,2016
Penalty,Connecticut Whale,08:14,#4 Anya Battaglino Slashing Minor 2 minsPower Play,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,2 - 1 CTW,8,14,11:46,CTW,2,1 ,2894,120,08:14,11:46,Anya Battaglino,4,6,6,Slashing,Minor,2 mins,2894,3014,,,,,,,2016
Penalty,Buffalo Beauts,10:52,#43 Tatiana Rafter Interference Minor 2 minsPower Play,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,2 - 1 CTW,10,52,9:08,CTW,2,1 ,3052,120,10:52,9:08,Tatiana Rafter,43,6,6,Interference,Minor,2 mins,3052,3172,,,,,,,2016
Goal,Connecticut Whale,11:00,#5 Kate Buesser from #13 Kaleigh Fratkin and #28 Sam FaberEven Strength3 - 1 CTW,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,3 - 1 CTW,11,0,8:00,CTW,3,1 ,3060,0,11:00,8:00,Kate Buesser,5,6,6,,,,3052,3172,made,Kaleigh Fratkin,Sam Faber,13,28,,2016
Penalty,Buffalo Beauts,12:57,#3 Kelley Steadman Body Checking Minor 2 minsPower Play,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,3 - 1 CTW,12,57,7:03,CTW,3,1 ,3177,120,12:57,7:03,Kelley Steadman,3,6,6,Body Checking,Minor,2 mins,3177,3297,,,,,,,2016
Goal,Buffalo Beauts,17:01,#3 Kelley Steadman from #10 Meghan DugganEven Strength3 - 2 CTW,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,3 - 2 CTW,17,1,2:59,CTW,3,2 ,3421,0,17:01,2:59,Kelley Steadman,3,6,6,,,,3177,3297,made,Meghan Duggan,,10,,,2016
Penalty,Buffalo Beauts,17:42,#26 Maggie Giamo Body Checking Minor 2 minsPower Play,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,1,Even Strength,3 - 2 CTW,17,42,2:18,CTW,3,2 ,3462,120,17:42,2:18,Maggie Giamo,26,6,6,Body Checking,Minor,2 mins,3462,3582,,,,,,,2016
PP Goal,Connecticut Whale,17:53,#9 Molly Engstrom from #61 Kelli Stack and #8 Kelly BabstockPower Play4 - 2 CTW,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,4 - 2 CTW,17,53,2:07,CTW,4,2 ,3473,0,17:53,2:07,Molly Engstrom,9,6,6,,,,3462,3582,made,Kelli Stack,Kelly Babsck,61,8,,2016
Goalie,Buffalo Beauts,19:00,Pulled Goalie #29 Brianne McLaughlin,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,Pulled,0,Even Strength,4 - 2 CTW,19,0,0:00,CTW,4,2 ,3540,0,19:00,0:00,Pulled Goalie  Brianne McLaughlin,29,6,6,,,,3462,3582,,,,,,,2016
Goal,Connecticut Whale,19:09,#13 Kaleigh Fratkin from #27 Shiann Darkangelo and #8 Kelly BabstockEven StrengthEmpty Net5 - 2 CTW,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,,0,Even Strength,5 - 2 CTW,19,9,0:51,CTW,5,2 ,3549,0,19:09,0:51,Kaleigh Fratkin,13,6,6,,,,3462,3582,made,Shiann Darkangelo,Kelly Babsck,27,8,,2016
Goalie,Buffalo Beauts,19:10,Returned Goalie #29 Brianne McLaughlin,3,40866, Buffalo Beauts,"",Buffalo Beauts,2, Connecticut Whale,"",Connecticut Whale,5,Returned,0,Even Strength,5 - 2 CTW,19,10,0:50,CTW,5,2 ,3550,0,19:10,0:50,Returned Goalie  Brianne McLaughlin,29,6,6,,,,3462,3582,,,,,,,2016
Goalie,Boston Pride,00:00,Starting Goalie #30 Lauren Slebodnick,1,40865, New York Riveters,"",New York Riveters,1, Boston Pride,"",Boston Pride,7,Starting,0,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,0,00:00,20:00,Starting Goalie  Lauren Slebodnick,30,5,5,,,,,,,,,,,,2016
Goalie,New York RivetersNYR,00:00,Starting Goalie #33 Nana Fujimoto,1,40865, New York Riveters,"",New York Riveters,1, Boston Pride,"",Boston Pride,7,Starting,0,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,0,00:00,20:00,Starting Goalie  Nana Fujimo,33,5,5,,,,,,,,,,,,2016
Goal,Boston Pride,00:55,#44 Zoe HickelEven Strength1 - 0 BOS,1,40865, New York Riveters,"",New York Riveters,1, Boston Pride,"",Boston Pride,7,,0,Even Strength,1 - 0 BOS,0,55,19:05,BOS,1,0 ,55,0,00:55,19:05,Zoe Hickel,44,6,6,,,,,,made,,,,,,2016
Penalty,New York RivetersNYR,05:04,#9 Ludmila Belyakova Roughing Minor 2 minsPower Play,1,40865, New York Riveters,"",New York Riveters,1, Boston Pride,"",Boston Pride,7,,1,Even Strength,1 - 0 BOS,5,4,14:56,BOS,1,0 ,304,120,05:04,14:56,Ludmila Belyakova,9,6,6,Roughing,Minor,2 mins,304,424,,,,,,,2016
Penalty,Boston Pride,05:31,#44 Zoe Hickel Hooking Minor 2 minsPower Play,1,40865, New York Riveters,"",New York Riveters,1, Boston Pride,"",Boston Pride,7,,1,Even Strength,1 - 0 BOS,5,31,14:29,BOS,1,0 ,331,120,05:31,14:29,Zoe Hickel,44,6,6,Hooking,Minor,2 mins,331,451,,,,,,,2016
